Entity,Code,Year,consumption_per_capita,production_per_capita
Australia,AUS,1995,61,59
Australia,AUS,1996,59.2,57.8
Australia,AUS,1997,59.2,56.6
Australia,AUS,1998,62.1,60.4
Australia,AUS,1999,62.5,58.5
Australia,AUS,2000,61.6,61.3
Australia,AUS,2001,62.8,63.2
Australia,AUS,2002,64,61
Australia,AUS,2003,66.4,62
Australia,AUS,2004,64.2,55.6
Australia,AUS,2005,72.5,60.5
Australia,AUS,2006,73.7,63
Australia,AUS,2007,77.4,64.6
Australia,AUS,2008,72.8,62.5
Australia,AUS,2009,73.8,64.2
Australia,AUS,2010,75.7,64.5
Australia,AUS,2011,79.6,65.9
Australia,AUS,2012,71.4,57.8
Australia,AUS,2013,69.3,58
Australia,AUS,2014,62.9,53.9
Australia,AUS,2015,62,54.4
Australia,AUS,2016,54.5,51.6
Australia,AUS,2017,62.4,59.8
Australia,AUS,2020,55,56.5
Austria,AUT,1995,47.6,36.4
Austria,AUT,1996,53.8,39.3
Austria,AUT,1997,51.8,38.7
Austria,AUT,1998,54.7,41.4
Austria,AUT,1999,53,39.9
Austria,AUT,2000,52.3,39.5
Austria,AUT,2001,52.9,40.3
Austria,AUT,2002,52.9,41.4
Austria,AUT,2003,55.7,43.5
Austria,AUT,2004,56.7,44.8
Austria,AUT,2005,58.2,45.9
Austria,AUT,2006,58.8,46
Austria,AUT,2007,57,45.3
Austria,AUT,2008,57.7,46.1
Austria,AUT,2009,52.6,43
Austria,AUT,2010,54.1,43.9
Austria,AUT,2011,56.6,45.7
Austria,AUT,2012,55.8,45.1
Austria,AUT,2013,54.1,43.5
Austria,AUT,2014,54.9,44.4
Austria,AUT,2015,51.7,42.2
Austria,AUT,2016,52.2,42.4
Austria,AUT,2017,53,43.2
Austria,AUT,2018,54.9,44.6
Austria,AUT,2019,55,45
Austria,AUT,2020,55.5,45.3
Belgium,BEL,1995,41.4,41.5
Belgium,BEL,1996,53.2,48.4
Belgium,BEL,1997,49.1,47.9
Belgium,BEL,1998,58.2,56.8
Belgium,BEL,1999,56.5,55.1
Belgium,BEL,2000,59.6,57.7
Belgium,BEL,2001,58.6,55.2
Belgium,BEL,2002,48.6,45
Belgium,BEL,2003,56.6,50.7
Belgium,BEL,2004,51.9,44.7
Belgium,BEL,2005,56.4,47.7
Belgium,BEL,2006,52.7,43.7
Belgium,BEL,2007,48.4,39.8
Belgium,BEL,2008,61.5,47.5
Belgium,BEL,2009,53.3,42
Belgium,BEL,2010,56.4,45.8
Belgium,BEL,2011,56.3,41.7
Belgium,BEL,2012,57.2,42.7
Belgium,BEL,2013,63.8,51.5
Belgium,BEL,2014,62.5,49.8
Belgium,BEL,2015,66.7,52.7
Belgium,BEL,2016,66.8,52.8
Belgium,BEL,2017,64.8,52.1
Belgium,BEL,2018,66.9,52.1
Belgium,BEL,2019,66.5,55.3
Belgium,BEL,2020,69.8,55.7
Brazil,BRA,1995,11.6,11.3
Brazil,BRA,1996,12.2,12
Brazil,BRA,1997,12.7,12.4
Brazil,BRA,1998,12.6,12.4
Brazil,BRA,1999,11.8,12.4
Brazil,BRA,2000,12,12.3
Brazil,BRA,2001,11.4,12.1
Brazil,BRA,2002,10.6,12.2
Brazil,BRA,2003,10.6,12.3
Brazil,BRA,2004,11,12.8
Brazil,BRA,2005,11.6,13
Brazil,BRA,2006,12.3,13.3
Brazil,BRA,2007,13.3,13.9
Brazil,BRA,2008,14.6,14.5
Brazil,BRA,2009,13.8,13.9
Brazil,BRA,2010,15.9,15.2
Brazil,BRA,2011,16.5,15.4
Brazil,BRA,2012,16.7,15.8
Brazil,BRA,2013,17.5,16.4
Brazil,BRA,2014,17.7,16.8
Brazil,BRA,2015,15.7,16.4
Brazil,BRA,2016,14.1,15.3
Brazil,BRA,2017,15.7,16.7
Brazil,BRA,2018,13.9,14.8
Brazil,BRA,2019,13.6,14.4
Brazil,BRA,2020,13.8,14.4
Bulgaria,BGR,1995,22.1,33.1
Bulgaria,BGR,1996,22.6,33.5
Bulgaria,BGR,1997,20.4,30
Bulgaria,BGR,1998,23.3,29.3
Bulgaria,BGR,1999,21.7,26.4
Bulgaria,BGR,2000,22.2,27.4
Bulgaria,BGR,2001,23.4,28.6
Bulgaria,BGR,2002,24.9,28.9
Bulgaria,BGR,2003,25.3,28.8
Bulgaria,BGR,2004,25.8,29.3
Bulgaria,BGR,2005,27.5,30.9
Bulgaria,BGR,2006,29.4,31.5
Bulgaria,BGR,2007,31,31.6
Bulgaria,BGR,2008,31.3,31.1
Bulgaria,BGR,2009,25.3,26.9
Bulgaria,BGR,2010,23.6,26.9
Bulgaria,BGR,2011,24.3,29.6
Bulgaria,BGR,2012,24.1,28.4
Bulgaria,BGR,2013,21.7,26.4
Bulgaria,BGR,2014,22.2,27.2
Bulgaria,BGR,2015,23.4,29.3
Bulgaria,BGR,2016,28.2,34.9
Bulgaria,BGR,2017,24.1,32
Bulgaria,BGR,2018,25.2,32.4
Bulgaria,BGR,2019,29.8,37.5
Bulgaria,BGR,2020,28.3,36.6
Canada,CAN,1997,88.1,97.1
Canada,CAN,1998,83,96
Canada,CAN,1999,85.4,95.5
Canada,CAN,2000,85,95.7
Canada,CAN,2001,78.3,95.2
Canada,CAN,2002,77.9,93.9
Canada,CAN,2003,88.9,98
Canada,CAN,2004,91.3,98.9
Canada,CAN,2005,93.1,100.607
Canada,CAN,2006,96.3,101.853
